"province","year","scope1_total","gdp_100m_yuan","ci","ln_ci","d_ln_ci"
"Hunan",2008,226.524122434642,11707.8,0.0193481373472934,-3.94515912526153,NA
"Hunan",2009,239.048511621926,12965.9,0.0184367079510042,-3.99341160439445,-0.0482524791329144
"Hunan",2010,262.153867543972,15814.9,0.0165763847728391,-4.09977620052733,-0.106364596132883
"Hunan",2011,291.884065842439,19176.4,0.015221004247014,-4.18507894666133,-0.0853027461339959
"Hunan",2012,291.222809601385,21513.7,0.0135366212971913,-4.30235657755643,-0.117277630895103
"Hunan",2013,281.202295768717,23916.3,0.0117577675379853,-4.44324118973798,-0.140884612181547
"Hunan",2014,278.68290248752,26309.1,0.0105926429443622,-4.54759558068917,-0.104354390951194
"Hunan",2015,292.525927419508,28811.7,0.0101530255909755,-4.58998353013284,-0.0423879494436736
"Hunan",2016,308.089740834207,31225,0.00986676511878965,-4.61858322811431,-0.0285996979814644
"Hunan",2017,322.954904577206,34127.7,0.00946313125634621,-4.66035195107287,-0.0417687229585662
"Hunan",2018,305.970569854121,36629.3,0.00835316453915639,-4.78511482519139,-0.124762874118513
"Hunan",2019,310.641666458315,39930.7,0.00777951967930227,-4.85626068057658,-0.0711458553851978
"Hunan",2020,302.314261143,41693.7,0.00725083792378704,-4.92663824109915,-0.0703775605225614
"Hunan",2021,310.873566230814,45751.9,0.00679476844089128,-4.99160230982706,-0.0649640687279103
"Inner Mongolia",2008,411.425066414574,6352.4,0.0647668702245724,-2.73696106832935,NA
"Inner Mongolia",2009,445.309728725966,7227,0.0616175077799869,-2.78680923161714,-0.0498481632877965
"Inner Mongolia",2010,490.621977617409,8342.1,0.0588127662839584,-2.83339633397056,-0.0465871023534148
"Inner Mongolia",2011,616.552193122076,9610.8,0.0641520157658131,-2.74649976572028,0.0868965682502729
"Inner Mongolia",2012,635.165129618301,10638.9,0.0597021430428241,-2.81838736236313,-0.0718875966428492
"Inner Mongolia",2013,590.556137667602,11584.9,0.0509763690379375,-2.97639310583592,-0.158005743472783
"Inner Mongolia",2014,600.609967350202,12377.3,0.0485251199655985,-3.02567367768698,-0.0492805718510603
"Inner Mongolia",2015,601.545969559321,13062.7,0.0460506610087747,-3.07801316223021,-0.0523394845432343
"Inner Mongolia",2016,606.107496377723,13879,0.0436708333725573,-3.13107482825578,-0.0530616660255667
"Inner Mongolia",2017,656.846847797345,15009.9,0.0437609076541047,-3.12901437944493,0.00206044881084999
"Inner Mongolia",2018,723.568563092747,16252.9,0.0445193511984167,-3.11183132594206,0.0171830535028632
"Inner Mongolia",2019,794.279374871464,17479.4,0.0454408832609508,-3.09134306679709,0.0204882591449742
"Inner Mongolia",2020,839.74307666044,17623.4,0.0476493228696188,-3.04388685948408,0.0474562073130147
"Inner Mongolia",2021,843.398873405289,21584.8,0.0390737404750236,-3.24230463671878,-0.198417777234702
"Jiangsu",2008,496.582202115003,31445.7,0.0157917362982857,-4.14826849486725,NA
"Jiangsu",2009,515.622398002454,35074.6,0.0147007349478669,-4.21985778999369,-0.0715892951264392
"Jiangsu",2010,589.821057111109,42175.2,0.0139850209865302,-4.26976845168363,-0.049910661689939
"Jiangsu",2011,636.938060608866,49689.5,0.0128183632479471,-4.35687650740735,-0.0871080557237134
"Jiangsu",2012,656.742258033947,54658.4,0.0120153948530134,-4.42156654699508,-0.0646900395877372
"Jiangsu",2013,706.623820107584,60505.2,0.0116787287721978,-4.4499861455021,-0.0284195985070186
"Jiangsu",2014,708.242386333021,66228.3,0.0106939538887911,-4.53807675434155,-0.0880906088394457
"Jiangsu",2015,721.654866067306,71876,0.0100402758370987,-4.60115069128134,-0.0630739369397935
"Jiangsu",2016,743.044413907817,78261.2,0.00949441631239767,-4.65705140976198,-0.0559007184806353
"Jiangsu",2017,757.880505758136,86512.9,0.00876031789199225,-4.73752308565206,-0.080471675890081
"Jiangsu",2018,764.049312673139,93456.3,0.00817547145214543,-4.80661689387446,-0.0690938082224042
"Jiangsu",2019,800.803663319188,99836.9,0.00802111907840876,-4.82567733087676,-0.0190604370022962
"Jiangsu",2020,773.971149426631,104566.6,0.00740170522352865,-4.90604486970624,-0.0803675388294831
"Jiangsu",2021,817.680205639677,119853.2,0.00682234771904027,-4.98755162603539,-0.0815067563291478
"Jiangxi",2008,130.289268988666,7028.7,0.0185367520293463,-3.98799992138965,NA
"Jiangxi",2009,142.182095984308,7733,0.0183864083776423,-3.99614356245023,-0.0081436410605833
"Jiangxi",2010,151.892778529027,9503.4,0.0159829933001901,-4.13623004077921,-0.140086478328977
"Jiangxi",2011,165.332738826907,11717.4,0.0141100191874398,-4.26087015327144,-0.124640112492229
"Jiangxi",2012,166.15725369851,12952.8,0.0128279023607645,-4.3561326085955,-0.0952624553240611
"Jiangxi",2013,202.405365373549,14473.4,0.0139846453061167,-4.26979531510128,0.0863372934942159
"Jiangxi",2014,207.660080446449,15858.6,0.0130944774725669,-4.335564704639,-0.0657693895377163
"Jiangxi",2015,216.135882537863,17031.1,0.0126906590025226,-4.36688906775135,-0.0313243631123532
"Jiangxi",2016,219.102571420849,18761.2,0.0116784945217176,-4.45000620357812,-0.0831171358267691
"Jiangxi",2017,228.979603007775,20497.6,0.0111710445616938,-4.49443015534993,-0.0444239517718037
"Jiangxi",2018,236.629284772599,23016.9,0.0102806757110036,-4.57748929047291,-0.0830591351229844
"Jiangxi",2019,242.308256497832,24724,0.00980052809002717,-4.62531900801998,-0.0478297175470725
"Jiangxi",2020,241.516307343098,25825.4,0.00935189028410393,-4.67217678669214,-0.0468577786721625
"Jiangxi",2021,245.414804786767,29838.2,0.00822485286601627,-4.80059487112095,-0.128418084428802
"Jilin",2008,179.356841780455,4905.4,0.0365631430220685,-3.30871456721634,NA
"Jilin",2009,185.731687179948,5515.3,0.0336757179446173,-3.39097823710251,-0.0822636698861703
"Jilin",2010,202.647674262803,6505.9,0.0311482922059674,-3.46899586010017,-0.0780176229976588
"Jilin",2011,234.433201893691,7857.7,0.02983483740709,-3.51207852776016,-0.0430826676599936
"Jilin",2012,229.936903092386,8831.3,0.026036586130285,-3.64825257122377,-0.136174043463609
"Jilin",2013,223.477678174203,9608.6,0.0232580894380246,-3.76110227464509,-0.112849703421322
"Jilin",2014,223.31449659944,10077,0.022160811412071,-3.80942980170522,-0.0483275270601227
"Jilin",2015,208.313595988104,10162.9,0.0204974560399201,-3.88745449615192,-0.0780246944467065
"Jilin",2016,201.394047335111,10603.5,0.0189931670990816,-3.96367599086089,-0.0762214947089701
"Jilin",2017,204.336008241019,11083,0.0184368860634322,-3.99340194369102,-0.0297259528301268
"Jilin",2018,196.318432034517,11437.4,0.0171646031470891,-4.06490597222969,-0.0715040285386719
"Jilin",2019,203.661561288323,11949.4,0.0170436642248417,-4.07197674402893,-0.00707077179923399
"Jilin",2020,200.593821511083,12499.5,0.0160481476467925,-4.13216184748132,-0.0601851034523904
"Jilin",2021,204.625419509102,13431.1,0.0152351944002429,-4.18414710651804,-0.0519852590367229
"Liaoning",2008,371.406413845229,12303,0.03018828040683,-3.50030149591742,NA
"Liaoning",2009,406.892743051116,13003.2,0.031291739191208,-3.46440113987357,0.0359003560438453
"Liaoning",2010,458.759677276089,14105.8,0.0325227691641799,-3.42581484527775,0.0385862945958224
"Liaoning",2011,471.242756369063,16585.3,0.0284132790102719,-3.56089867230791,-0.135083827030162
"Liaoning",2012,481.316773031272,18127.6,0.0265515993860893,-3.62866529257791,-0.0677666202699965
"Liaoning",2013,502.555428956762,19534.3,0.0257268204623028,-3.66022123349556,-0.0315559409176562
"Liaoning",2014,506.38679603461,20381.5,0.0248454135384839,-3.69508210932965,-0.0348608758340876
"Liaoning",2015,493.944343166703,20657.8,0.0239107912346282,-3.73342540585416,-0.0383432965245079
"Liaoning",2016,480.46909233874,20832,0.0230639925277813,-3.76948264262366,-0.0360572367695018
"Liaoning",2017,496.832435319365,22105.4,0.0224756138915995,-3.79532438457704,-0.0258417419533776
"Liaoning",2018,521.002778610988,24113.5,0.0216062694594724,-3.83477175365385,-0.0394473690768082
"Liaoning",2019,533.388435865284,25665.9,0.0207819883918072,-3.87366861012141,-0.0388968564675625
"Liaoning",2020,543.873935285828,25839,0.0210485674865834,-3.86092277406335,0.0127458360580581
"Liaoning",2021,545.674048308261,28471,0.0191659600403309,-3.95461948798756,-0.0936967139242091
"Ningxia",2008,75.3902521391059,1153.7,0.0653464957433526,-2.72805146325169,NA
"Ningxia",2009,79.9977662350173,1284.8,0.0622647620135564,-2.77635963097073,-0.0483081677190356
