"province","year","gdp_100m_yuan","population_10k","gdp_percap","ln_gdp_percap"
"Ningxia",2011,1959.3,648,30236.1111111111,10.3167922212006
"Ningxia",2012,2162,659,32807.2837632777,10.3984058356728
"Ningxia",2013,2364.9,666,35509.009009009,10.4775417181698
"Ningxia",2014,2516.4,678,37115.0442477876,10.5217776717317
"Ningxia",2015,2644.7,684,38665.2046783626,10.5626953706632
"Ningxia",2016,2853.3,695,41054.6762589928,10.6226600245678
"Ningxia",2017,3271.6,705,46405.6737588652,10.7451770100247
"Ningxia",2018,3580.6,710,50430.985915493,10.828361065058
"Ningxia",2019,3841.5,717,53577.4058577406,10.8888827256843
"Ningxia",2020,4036.2,721,55980.5825242718,10.9327601689508
"Ningxia",2021,4666.5,725,64365.5172413793,11.0723333221273
"Qinghai",2008,909.2,554,16411.5523465704,9.70574077720729
"Qinghai",2009,953.3,557,17114.9012567325,9.74770478154843
"Qinghai",2010,1160.8,563,20618.1172291297,9.93392544540647
"Qinghai",2011,1388.3,568,24441.9014084507,10.1040542092958
"Qinghai",2012,1547.9,571,27108.5814360771,10.2076056149
"Qinghai",2013,1736.1,571,30404.5534150613,10.3223476595681
"Qinghai",2014,1875.1,576,32553.8194444444,10.390649981596
"Qinghai",2015,2054.3,577,35603.1195840555,10.4801885417665
"Qinghai",2016,2310.7,582,39702.7491408935,10.5891757121592
"Qinghai",2017,2517,586,42952.2184300341,10.6678435775345
"Qinghai",2018,2799.9,587,47698.4667802385,10.7726545333879
"Qinghai",2019,3020.2,590,51189.8305084746,10.8432961684181
"Qinghai",2020,3080.6,593,51949.4097807757,10.8580256351688
"Qinghai",2021,3446.3,594,58018.5185185185,10.9685175233701
"Shaanxi",2008,7256.8,3718,19518.0204410974,9.87909344299553
"Shaanxi",2009,8094.9,3727,21719.6136302656,9.98597098522785
"Shaanxi",2010,9973,3735,26701.4725568942,10.1924739948111
"Shaanxi",2011,12320.1,3765,32722.7091633466,10.3958245856799
"Shaanxi",2012,14311.5,3787,37791.1275415896,10.5398296329344
"Shaanxi",2013,16106.3,3804,42340.4311251314,10.6534977270917
"Shaanxi",2014,17635.6,3827,46082.0486020382,10.7381787518911
"Shaanxi",2015,18188.3,3846,47291.4716588664,10.7640852550282
"Shaanxi",2016,19354.6,3874,49960.2478058854,10.818982924313
"Shaanxi",2017,21776.1,3904,55778.9446721311,10.9291517415355
"Shaanxi",2018,24354.8,3931,61955.7364538285,11.0341754808951
"Shaanxi",2019,26214.5,3944,66466.784989858,11.1044576280286
"Shaanxi",2020,26297,3955,66490.5183312263,11.1048146349929
"Shaanxi",2021,30476.6,3954,77077.8958017198,11.2525718232678
"Shandong",2008,27460.2,9417,29160.2421153234,10.2805614890828
"Shandong",2009,29957.2,9470,31633.7909186906,10.3619811611158
"Shandong",2010,34429.4,9588,35908.8443888194,10.4887389059398
"Shandong",2011,39622,9665,40995.3440248319,10.621213778868
"Shandong",2012,43584.3,9708,44895.2410383189,10.7120870778751
"Shandong",2013,48058.1,9746,49310.5889595732,10.8058941231658
"Shandong",2014,51552.7,9808,52561.8882544861,10.8697465782074
"Shandong",2015,56159.1,9866,56921.8528278938,10.9494346031128
"Shandong",2016,59702.6,9973,59864.2334302617,10.9998345010955
"Shandong",2017,63958.6,10033,63748.2308382338,11.0626967110785
"Shandong",2018,67864.4,10077,67345.837054679,11.1175963693072
"Shandong",2019,72024.3,10106,71268.8501880071,11.1742146271822
"Shandong",2020,74355.9,10165,73148.9424495819,11.2002529490585
"Shandong",2021,84838,10170,83419.8623402163,11.3316417175484
"Shanghai",2008,14877.1,2141,69486.6884633349,11.1488904803065
"Shanghai",2009,16181.4,2210,73219.0045248869,11.2012102909097
"Shanghai",2010,18319.6,2303,79546.6782457664,11.2840992760841
"Shanghai",2011,20406.1,2356,86613.3276740238,11.3692089819474
"Shanghai",2012,21774.9,2399,90766.5694039183,11.4160463184241
"Shanghai",2013,23809.4,2448,97260.6209150327,11.4851494680114
"Shanghai",2014,25964.5,2467,105247.263883259,11.5640677548481
"Shanghai",2015,27821.6,2458,113187.957689178,11.6368050582547
"Shanghai",2016,30963.9,2467,125512.363194163,11.7401595442093
"Shanghai",2017,34378.3,2466,139409.164639092,11.8451685186131
"Shanghai",2018,37769.1,2475,152602.424242424,11.9355912839607
"Shanghai",2019,40241.2,2481,162197.501007658,11.9965700136869
"Shanghai",2020,41603.9,2488,167218.247588424,12.0270551099722
"Shanghai",2021,47059.4,2489,189069.505825633,12.1498699821274
"Shanxi",2008,7295.8,3411,21389.0354734682,9.97063370865528
"Shanxi",2009,7231.2,3427,21100.6711409396,9.95706012658577
"Shanxi",2010,9004.5,3574,25194.4599888081,10.1343794076168
"Shanxi",2011,11005.1,3562,30895.8450308815,10.3383769888246
"Shanxi",2012,11819.7,3548,33313.6978579481,10.413723938474
"Shanxi",2013,12171.8,3535,34432.2489391796,10.4467488733739
"Shanxi",2014,12307,3528,34883.7868480726,10.4597774400218
"Shanxi",2015,12036.1,3519,34203.1827223643,10.4400739807781
"Shanxi",2016,12160.1,3514,34604.7239612977,10.4517454823997
"Shanxi",2017,14679.1,3510,41820.7977207977,10.6411490479035
"Shanxi",2018,16153.1,3502,46125.3569388921,10.7391181198255
"Shanxi",2019,17311,3497,49502.430654847,10.8097770514895
"Shanxi",2020,18202.7,3490,52156.7335243553,10.8620085704899
"Shanxi",2021,23087.8,3480,66344.2528735632,11.1026124176751
"Sichuan",2008,12941.4,8138,15902.4330302286,9.67422739727093
"Sichuan",2009,14396.2,8185,17588.5155772755,9.77500144402135
"Sichuan",2010,17466.7,8045,21711.24922312,9.98558580258585
"Sichuan",2011,21313.1,8064,26429.935515873,10.1822525677873
"Sichuan",2012,24224.9,8085,29962.7705627706,10.3077109087484
"Sichuan",2013,26858.4,8109,33121.7166111728,10.4079444372036
"Sichuan",2014,29357.5,8139,36070.1560388254,10.4932210998884
"Sichuan",2015,30829.1,8196,37614.8121034651,10.5351531907264
"Sichuan",2016,33879.2,8251,41060.7199127378,10.6228072236082
"Sichuan",2017,38517.1,8289,46467.7283146339,10.7465133358967
"Sichuan",2018,43539,8321,52324.239875015,10.8652150202142
"Sichuan",2019,47168.6,8351,56482.5769368938,10.9416874967795
"Sichuan",2020,49445.1,8371,59067.1365428264,10.9864299834674
"Sichuan",2021,55131.3,8372,65852.0066889632,11.0951651803436
"Tianjin",2008,5278.3,1176,44883.5034013605,10.7118255986776
"Tianjin",2009,5828.6,1228,47464.1693811075,10.7677303765548
"Tianjin",2010,6991.6,1299,53822.9407236336,10.8934550627665
"Tianjin",2011,8240.8,1341,61452.6472781506,11.026022194264
"Tianjin",2012,9193,1378,66712.6269956459,11.1081495242663
"Tianjin",2013,10075.2,1410,71455.3191489362,11.1768276263384
"Tianjin",2014,10749.2,1429,75221.833449965,11.2281968062283
"Tianjin",2015,10889.2,1439,75671.9944405837,11.2341634164257
"Tianjin",2016,11487,1443,79604.9896049896,11.2848320533477
"Tianjin",2017,12468.2,1410,88426.9503546099,11.3899320704277
"Tianjin",2018,13411.1,1383,96971.0773680405,11.4821680415601
"Tianjin",2019,14097.2,1385,101784.837545126,11.5306164284408
"Tianjin",2020,14230.8,1387,102601.29776496,11.5386058604201
"Tianjin",2021,16093.2,1373,117211.944646759,11.6717390677131
"Xinjiang",2008,4183.9,2131,19633.5053965275,9.88499284476309
"Xinjiang",2009,4289.5,2159,19867.9944418712,9.89686539647439
"Xinjiang",2010,5425.4,2185,24830.2059496567,10.1198161728559
"Xinjiang",2011,6607.6,2225,29697.0786516854,10.2988039580568
"Xinjiang",2012,7499.5,2253,33286.7288060364,10.4129140621794
"Xinjiang",2013,8518.4,2285,37279.6498905908,10.5262028774086
"Xinjiang",2014,9400.2,2325,40430.9677419355,10.6073512985822
"Xinjiang",2015,9545.7,2385,40023.8993710692,10.5972320389501
"Xinjiang",2016,9913.9,2428,40831.5485996705,10.6172103115804
"Xinjiang",2017,11460.8,2480,46212.9032258065,10.7410143286773
"Xinjiang",2018,13110.1,2520,52024.2063492063,10.8594643959644
"Xinjiang",2019,14024.9,2559,54806.1742868308,10.9115581360571
"Xinjiang",2020,14262.2,2590,55066.4092664093,10.9162951770512
"Xinjiang",2021,16791.5,2589,64857.0876786404,11.0799414771979
